,"(p,q)x(P,Q)",AIC
219,"(3, 4, 0, 3)",-2252.168786809342
220,"(6, 3, 3, 3)",-2251.85803419477
221,"(1, 4, 2, 3)",-2251.8379267104274
222,"(1, 1, 2, 2)",-2251.1510882290677
223,"(6, 3, 1, 3)",-2251.076325110313
224,"(4, 7, 3, 0)",-2251.0675168079124
225,"(4, 6, 3, 1)",-2250.7739382029
226,"(5, 3, 0, 2)",-2250.6100149364047
227,"(5, 6, 1, 3)",-2250.5556319768
228,"(2, 1, 1, 2)",-2250.473289128373
229,"(4, 4, 1, 3)",-2250.381743574152
230,"(3, 6, 1, 3)",-2250.2447179881065
231,"(6, 1, 0, 2)",-2250.23074574694
232,"(5, 4, 3, 3)",-2249.779762295832
233,"(5, 5, 3, 1)",-2249.655348524533
234,"(5, 3, 1, 3)",-2249.6081206470894
235,"(3, 4, 3, 1)",-2249.088296318287
236,"(3, 6, 3, 1)",-2249.0799652637766
237,"(2, 3, 3, 1)",-2248.9814472570656
238,"(5, 1, 3, 1)",-2248.7913651744957
239,"(2, 3, 1, 3)",-2248.74986894227
240,"(4, 3, 3, 1)",-2248.533949127938
241,"(5, 4, 1, 3)",-2248.4360458580104
242,"(2, 1, 3, 2)",-2248.3182937532456
243,"(4, 6, 1, 3)",-2248.1137531752256
244,"(3, 6, 3, 2)",-2247.8714436619025
245,"(5, 2, 1, 2)",-2247.7613235249464
246,"(3, 3, 3, 1)",-2247.7354928451214
247,"(6, 4, 1, 3)",-2247.7197681364737
248,"(6, 0, 1, 3)",-2246.929761267102
249,"(2, 6, 2, 1)",-2246.627133066888
250,"(6, 7, 3, 0)",-2246.1759731234542
251,"(4, 3, 3, 3)",-2245.1947434808835
252,"(5, 5, 1, 3)",-2244.5531022069576
253,"(5, 3, 3, 1)",-2244.270634135638
254,"(2, 4, 3, 1)",-2243.986142192263
255,"(0, 6, 3, 3)",-2243.8857676559
256,"(6, 5, 1, 3)",-2242.884620244226
257,"(3, 1, 3, 2)",-2242.8689115915267
258,"(6, 6, 3, 1)",-2242.5188052299272
259,"(6, 4, 0, 2)",-2241.228673681263
260,"(6, 4, 0, 3)",-2240.8276721606444
261,"(0, 2, 3, 3)",-2240.7248951469314
262,"(6, 6, 0, 3)",-2240.3451040382715
263,"(5, 6, 3, 1)",-2239.6911779633742
264,"(7, 5, 0, 2)",-2239.60029492518
265,"(5, 2, 2, 2)",-2239.524258120231
266,"(6, 5, 3, 2)",-2239.09230865918
267,"(0, 5, 1, 3)",-2238.6207894424615
268,"(6, 2, 1, 3)",-2238.5093782290987
269,"(6, 5, 3, 1)",-2238.480136793802
270,"(2, 6, 2, 2)",-2237.787946652039
271,"(6, 4, 3, 1)",-2237.7029830309684
272,"(5, 7, 3, 0)",-2237.533726665457
273,"(2, 5, 3, 1)",-2237.3087348975373
274,"(3, 3, 3, 3)",-2237.0890121306065
275,"(2, 5, 2, 2)",-2237.039142399676
276,"(1, 5, 3, 1)",-2236.929160887874
277,"(3, 5, 3, 3)",-2235.953424700011
278,"(6, 1, 3, 3)",-2235.7871660372775
